0 width </sparql> </sparql>
0 wheelbase </sparql> </sparql>
0 weight </sparql> </sparql>
0 torqueOutput </sparql> </sparql>
0 topSpeed </sparql> </sparql>
0 retirementDate </sparql> </sparql>
0 redline </sparql> </sparql>
0 powerOutput </sparql> </sparql>
0 operatingIncome </sparql> </sparql>
0 netIncome </sparql> </sparql>
0 marketCapitalisation </sparql> </sparql>
0 length </sparql> </sparql>
0 latestReleaseDate </sparql> </sparql>
0 height </sparql> </sparql>
0 fuelConsumption </sparql> </sparql>
0 fuelCapacity </sparql> </sparql>
0 foalDate </sparql> </sparql>
0 displacement </sparql> </sparql>
0 diameter </sparql> </sparql>
0 deathYear </sparql> </sparql>
0 deathDate </sparql> </sparql>
0 co2Emission </sparql> </sparql>
0 birthYear </sparql> </sparql>
0 birthDate </sparql> </sparql>
0 acceleration </sparql> </sparql>
